Espécie;Característica;;;;;Classes Diamétricas                                                                      ;;;;;;Total das Classes
;de  Interesse;7;11;15;19;23;27;31;35;39;43;de Diâmetro
Acosmium dasycarpum;Voltot;0,00;0,23;0,34;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,57
;Peso;0,00;0,16;0,24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,41
;Árvores;0,00;5,56;5,56;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,11
Acosmium sub elegans;Voltot;0,03;0,26;0,00;0,00;1,13;0,00;0,00;0,00;0,00;0,00;1,42
;Peso;0,03;0,18;0,00;0,00;0,75;0,00;0,00;0,00;0,00;0,00;0,96
;Árvores;5,56;5,56;0,00;0,00;5,56;0,00;0,00;0,00;0,00;0,00;16,67
Annona crassiflora;Voltot;0,00;0,17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,17
;Peso;0,00;0,12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,12
;Árvores;0,00;5,56;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,56
Byrsonima coccolobifolia;Voltot;0,03;0,71;0,71;0,88;0,00;0,00;0,00;0,00;0,00;0,00;2,34
;Peso;0,03;0,52;0,51;0,61;0,00;0,00;0,00;0,00;0,00;0,00;1,66
;Árvores;5,56;22,22;11,11;11,11;0,00;0,00;0,00;0,00;0,00;0,00;50,00
Casearia sylvestris;Voltot;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,02
;Peso;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,02
;Árvores;5,56;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,56
Davilla elliptica;Voltot;0,02;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,09
;Peso;0,02;0,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,07
;Árvores;5,56;5,56;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,11
Diospyros coccolobifolia;Voltot;0,08;0,07;0,26;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,41
;Peso;0,07;0,05;0,18;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,31
;Árvores;16,67;5,56;5,56;0,00;0,00;0,00;0,00;0,00;0,00;0,00;27,78
Erythroxylum spl;Voltot;0,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,08
;Peso;0,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,06
;Árvores;16,67;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,67
Erythroxylum suberosum;Voltot;0,06;0,18;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,24
;Peso;0,04;0,13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,18
;Árvores;5,56;5,56;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,11
Erythroxylum tortuosum;Voltot;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,03
;Peso;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,02
;Árvores;5,56;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,56
Eugenia dysenterica;Voltot;0,32;0,14;0,73;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,18
;Peso;0,24;0,10;0,52;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,86
;Árvores;33,33;5,56;11,11;0,00;0,00;0,00;0,00;0,00;0,00;0,00;50,00
Hymenaea stigonocarpa;Voltot;0,12;0,00;0,87;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,99
;Peso;0,09;0,00;0,61;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,71
;Árvores;11,11;0,00;11,11;0,00;0,00;0,00;0,00;0,00;0,00;0,00;22,22
Kielmeyera coriacae;Voltot;0,67;0,61;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,28
;Peso;0,53;0,45;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,98
;Árvores;77,78;33,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;111,11
Lafoensia pacari;Voltot;0,49;0,76;0,77;0,69;0,00;1,28;0,00;0,00;0,00;0,00;3,98
;Peso;0,38;0,57;0,56;0,48;0,00;0,82;0,00;0,00;0,00;0,00;2,81
;Árvores;61,11;44,44;27,78;11,11;0,00;5,56;0,00;0,00;0,00;0,00;150,00
Magonia pubescens;Voltot;0,32;0,00;0,00;0,00;0,00;0,00;2,47;0,00;0,00;0,00;2,79
;Peso;0,24;0,00;0,00;0,00;0,00;0,00;1,54;0,00;0,00;0,00;1,78
;Árvores;22,22;0,00;0,00;0,00;0,00;0,00;5,56;0,00;0,00;0,00;27,78
Ouratea hexasperma;Voltot;0,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,08
;Peso;0,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,06
;Árvores;5,56;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,56
Piptocarpha rotundifolia;Voltot;0,04;0,00;0,27;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,31
;Peso;0,03;0,00;0,19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,23
;Árvores;5,56;0,00;5,56;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,11
Pouteria ramiflora;Voltot;0,36;0,64;1,40;2,26;0,00;0,00;0,00;0,00;0,00;0,00;4,66
